Open,High,Low,Close,Adj Close,Volume,Buy or sell,Yesterdays Open,Yesterdays High,Yesterdays Low,Yesterdays Close,
2769.280029,2787.330078,2767.290039,2779.76001,2779.76001,3533710000,Buy,2779.050049,2789.879883,2774.060059,2784.699951,2784.699951
2780.23999,2781.580078,2764.550049,2774.879883,2774.879883,3559710000,Sell,2780.669922,2794.199951,2779.110107,2792.669922,2792.669922
2804.350098,2813.48999,2794.98999,2796.110107,2796.110107,3804380000,Sell,2792.360107,2803.120117,2789.469971,2793.899902,2793.899902
2787.5,2795.76001,2775.129883,2792.379883,2792.379883,3767130000,Buy,2788.110107,2793.72998,2782.51001,2784.48999,2784.48999
2798.219971,2808.02002,2787.379883,2803.689941,2803.689941,3972280000,Buy,2814.370117,2816.879883,2767.659912,2792.810059,2792.810059
2794.409912,2796.439941,2782.969971,2789.649902,2789.649902,3585690000,Sell,2790.27002,2790.27002,2768.689941,2771.449951,2771.449951
2766.530029,2767.25,2739.090088,2748.929932,2748.929932,3904860000,Sell,2730.790039,2744.129883,2722.27002,2743.070068,2743.070068
2747.610107,2784,2747.610107,2783.300049,2783.300049,3749030000,Buy,2787.340088,2798.320068,2786.72998,2791.52002,2791.52002
2799.780029,2821.23999,2799.780029,2810.919922,2810.919922,3766150000,Buy,2810.379883,2815,2803.459961,2808.47998,2808.47998
2810.790039,2830.72998,2810.790039,2822.47998,2822.47998,5962730000,Buy,2822.610107,2835.409912,2821.98999,2832.939941,2832.939941
2840.76001,2852.419922,2823.27002,2832.570068,2832.570068,3620220000,Sell,2831.340088,2843.540039,2812.429932,2824.22998,2824.22998
2819.719971,2860.310059,2817.379883,2854.879883,2854.879883,3546800000,Buy,2844.52002,2846.159912,2800.469971,2800.709961,2800.709961
2796.01001,2809.790039,2785.02002,2798.360107,2798.360107,3376580000,Buy,2812.659912,2829.870117,2803.98999,2818.459961,2818.459961
2819.719971,2825.560059,2787.719971,2805.370117,2805.370117,3372930000,Sell,2809.399902,2819.709961,2798.77002,2815.439941,2815.439941
2828.27002,2836.030029,2819.22998,2834.399902,2834.399902,3740700000,Buy,2848.629883,2869.399902,2848.629883,2867.189941,2867.189941
2868.23999,2872.899902,2858.75,2867.23999,2867.23999,3246900000,Sell,2876.090088,2885.25,2865.169922,2873.399902,2873.399902
2873.98999,2881.280029,2867.139893,2879.389893,2879.389893,3015180000,Buy,2884.159912,2893.23999,2882.98999,2892.73999,2892.73999
2888.459961,2895.949951,2880.780029,2895.77002,2895.77002,3054030000,Buy,2886.580078,2886.879883,2873.330078,2878.199951,2878.199951
2881.370117,2889.709961,2879.129883,2888.209961,2888.209961,3062380000,Buy,2891.919922,2893.419922,2881.98999,2888.320068,2888.320068
2900.860107,2910.540039,2898.370117,2907.409912,2907.409912,3688490000,Buy,2908.320068,2909.600098,2896.47998,2905.580078,2905.580078
2912.26001,2916.060059,2900.709961,2907.060059,2907.060059,3402210000,Sell,2916.040039,2918,2895.449951,2900.449951,2900.449951
2904.810059,2908.399902,2891.899902,2905.030029,2905.030029,3506850000,Buy,2898.780029,2909.51001,2896.350098,2907.969971,2907.969971
2909.98999,2936.310059,2908.530029,2933.679932,2933.679932,3635030000,Buy,2934,2936.830078,2926.050049,2927.25,2927.25
2928.98999,2933.100098,2912.840088,2926.169922,2926.169922,3425280000,Sell,2925.810059,2939.879883,2917.560059,2939.879883,2939.879883
2940.580078,2949.52002,2939.350098,2943.030029,2943.030029,3118780000,Buy,2937.139893,2948.219971,2924.110107,2945.830078,2945.830078
2952.330078,2954.129883,2923.360107,2923.72998,2923.72998,3645850000,Sell,2922.159912,2931.679932,2900.5,2917.52002,2917.52002
2929.209961,2947.850098,2929.209961,2945.639893,2945.639893,3338120000,Buy,2908.889893,2937.320068,2898.209961,2932.469971,2932.469971
2913.030029,2913.030029,2862.600098,2884.050049,2884.050049,3767100000,Sell,2879.610107,2897.959961,2873.280029,2879.419922,2879.419922
2859.840088,2875.969971,2836.399902,2870.719971,2870.719971,3638820000,Buy,2863.100098,2891.310059,2825.389893,2881.399902,2881.399902
2840.189941,2840.189941,2801.429932,2811.870117,2811.870117,3894030000,Sell,2820.120117,2852.540039,2820.120117,2834.409912,2834.409912
2820.379883,2858.679932,2815.080078,2850.959961,2850.959961,3125950000,Buy,2855.800049,2892.149902,2855.800049,2876.320068,2876.320068
2858.600098,2885.47998,2854.22998,2859.530029,2859.530029,3257950000,Buy,2841.939941,2853.860107,2831.290039,2840.22998,2840.22998
2854.02002,2868.879883,2854.02002,2864.360107,2864.360107,3218700000,Buy,2856.060059,2865.469971,2851.110107,2856.27002,2856.27002
2836.699951,2836.699951,2805.48999,2822.23999,2822.23999,3891980000,Sell,2832.409912,2841.360107,2820.189941,2826.060059,2826.060059
2830.030029,2840.51001,2801.580078,2802.389893,2802.389893,4121410000,Sell,2790.25,2792.030029,2766.060059,2783.02002,2783.02002
2786.939941,2799,2776.73999,2788.860107,2788.860107,3273790000,Buy,2766.149902,2768.97998,2750.52002,2752.060059,2752.060059
2751.530029,2763.070068,2728.810059,2744.449951,2744.449951,3943810000,Sell,2762.639893,2804.48999,2762.639893,2803.27002,2803.27002
2818.090088,2827.280029,2800.919922,2826.149902,2826.149902,3548830000,Buy,2828.51001,2852.100098,2822.449951,2843.48999,2843.48999
2852.870117,2884.969971,2852.870117,2873.340088,2873.340088,3220250000,Buy,2885.830078,2904.77002,2885.51001,2886.72998,2886.72998
2903.27002,2910.610107,2878.530029,2885.719971,2885.719971,3548420000,Sell,2882.72998,2888.570068,2874.679932,2879.840088,2879.840088
2886.23999,2895.23999,2881.98999,2891.639893,2891.639893,3069810000,Buy,2886.820068,2894.449951,2879.620117,2886.97998,2886.97998
2889.75,2897.27002,2887.300049,2889.669922,2889.669922,2810140000,Sell,2906.709961,2930.790039,2905.439941,2917.75,2917.75
2920.550049,2931.73999,2911.429932,2926.459961,2926.459961,3287890000,Buy,2949.600098,2958.060059,2931.5,2954.179932,2954.179932
2952.709961,2964.149902,2946.870117,2950.459961,2950.459961,5000120000,Sell,2951.419922,2954.919922,2944.050049,2945.350098,2945.350098
2945.780029,2946.52002,2916.01001,2917.379883,2917.379883,3578050000,Sell,2926.070068,2932.590088,2912.98999,2913.780029,2913.780029
2919.659912,2929.300049,2918.570068,2924.919922,2924.919922,3122920000,Buy,2932.939941,2943.97998,2929.050049,2941.76001,2941.76001
2971.409912,2977.929932,2952.219971,2964.330078,2964.330078,3513270000,Sell,2964.659912,2973.209961,2955.919922,2973.01001,2973.01001
2978.080078,2995.840088,2977.959961,2995.820068,2995.820068,1963720000,Buy,2984.25,2994.030029,2967.969971,2990.409912,2990.409912
2979.77002,2980.76001,2970.090088,2975.949951,2975.949951,2904550000,Sell,2965.52002,2981.899902,2963.439941,2979.629883,2979.629883
2989.300049,3002.97998,2984.620117,2993.070068,2993.070068,3154240000,Buy,2999.620117,3002.330078,2988.800049,2999.909912,2999.909912
3003.360107,3013.919922,3001.870117,3013.77002,3013.77002,2974960000,Buy,3017.800049,3017.800049,3008.77002,3014.300049,3014.300049
3012.129883,3015.02002,3001.149902,3004.040039,3004.040039,3290650000,Sell,3005.100098,3005.26001,2984.25,2984.419922,2984.419922
2978.870117,2998.280029,2973.090088,2995.110107,2995.110107,3296580000,Buy,3004.26001,3006.02002,2975.860107,2976.610107,2976.610107
2981.929932,2990.709961,2976.649902,2985.030029,2985.030029,3003720000,Buy,2994.73999,3005.899902,2988.560059,3005.469971,3005.469971
2998.77002,3019.590088,2996.820068,3019.560059,3019.560059,3428980000,Buy,3016.26001,3016.310059,2997.23999,3003.669922,3003.669922
3013.25,3027.97998,3012.590088,3025.860107,3025.860107,3257590000,Buy,3024.469971,3025.610107,3014.300049,3020.969971,3020.969971
3007.659912,3017.189941,3000.939941,3013.179932,3013.179932,3634330000,Buy,3016.219971,3017.399902,2958.080078,2980.379883,2980.379883
2980.320068,3013.590088,2945.22998,2953.560059,2953.560059,4762300000,Sell,2943.899902,2945.5,2914.110107,2932.050049,2932.050049
2898.070068,2898.070068,2822.120117,2844.73999,2844.73999,4513730000,Sell,2861.179932,2884.399902,2847.419922,2881.77002,2881.77002
2858.649902,2892.169922,2825.709961,2883.97998,2883.97998,4491750000,Buy,2896.209961,2938.719971,2894.469971,2938.090088,2938.090088
2930.51001,2935.75,2900.149902,2918.649902,2918.649902,3350640000,Sell,2907.070068,2907.580078,2873.139893,2882.699951,2882.699951
2880.719971,2943.310059,2877.050049,2926.320068,2926.320068,3853600000,Buy,2894.149902,2894.149902,2839.639893,2840.600098,2840.600098
2846.199951,2856.669922,2825.51001,2847.600098,2847.600098,4038000000,Buy,2864.73999,2893.629883,2864.73999,2888.679932,2888.679932
2913.47998,2931,2913.47998,2923.649902,2923.649902,3212880000,Buy,2919.01001,2923.629883,2899.600098,2900.51001,2900.51001
2922.040039,2928.72998,2917.909912,2924.429932,2924.429932,3011190000,Buy,2930.939941,2939.080078,2904.51001,2922.949951,2922.949951
2911.070068,2927.01001,2834.969971,2847.110107,2847.110107,3937300000,Sell,2866.699951,2879.27002,2856,2878.379883,2878.379883
2893.139893,2898.790039,2860.590088,2869.159912,2869.159912,3533630000,Sell,2861.280029,2890.030029,2853.050049,2887.939941,2887.939941
2910.370117,2930.5,2905.669922,2924.580078,2924.580078,3176190000,Buy,2937.090088,2940.429932,2913.320068,2926.459961,2926.459961
2909.01001,2914.389893,2891.850098,2906.27002,2906.27002,3426790000,Sell,2924.669922,2938.840088,2921.860107,2937.780029,2937.780029
2960.600098,2985.860107,2960.600098,2976,2976,3890700000,Buy,2980.330078,2985.030029,2972.51001,2978.709961,2978.709961
2988.429932,2989.429932,2969.389893,2978.429932,2978.429932,4002890000,Sell,2971.01001,2979.389893,2957.01001,2979.389893,2979.389893
2981.409912,3000.929932,2975.310059,3000.929932,3000.929932,3927550000,Buy,3009.080078,3020.73999,3000.919922,3009.570068,3009.570068
3012.209961,3017.330078,3002.899902,3007.389893,3007.389893,3520060000,Sell,2996.409912,3002.189941,2990.669922,2997.959961,2997.959961
2995.669922,3006.209961,2993.72998,3005.699951,3005.699951,3671840000,Buy,3001.5,3007.830078,2978.570068,3006.72998,3006.72998
3010.360107,3021.98999,3003.159912,3006.790039,3006.790039,3251290000,Sell,3008.419922,3016.370117,2984.679932,2992.070068,2992.070068
2983.5,2999.149902,2982.22998,2991.780029,2991.780029,3186590000,Buy,3002.429932,3007.97998,2957.72998,2966.600098,2966.600098
2968.350098,2989.820068,2952.860107,2984.870117,2984.870117,3318870000,Buy,2985.72998,2987.280029,2963.709961,2977.620117,2977.620117
2985.469971,2987.310059,2945.530029,2961.790039,2961.790039,3243650000,Sell,2967.070068,2983.850098,2967.070068,2976.73999,2976.73999
2983.689941,2992.530029,2938.699951,2940.25,2940.25,3558040000,Sell,2924.780029,2924.780029,2874.929932,2887.610107,2887.610107
2885.379883,2911.129883,2855.939941,2910.629883,2910.629883,3503640000,Buy,2918.560059,2953.73999,2918.560059,2952.01001,2952.01001
2944.22998,2959.75,2935.679932,2938.790039,2938.790039,2940140000,Sell,2920.399902,2925.469971,2892.659912,2893.060059,2893.060059
2911.100098,2929.320068,2907.409912,2919.399902,2919.399902,2726820000,Buy,2918.550049,2948.459961,2917.120117,2938.129883,2938.129883
2963.070068,2993.280029,2963.070068,2970.27002,2970.27002,3580460000,Buy,2965.810059,2972.840088,2962.939941,2966.149902,2966.149902
2973.610107,3003.280029,2973.610107,2995.679932,2995.679932,3340740000,Buy,2989.679932,2997.540039,2985.199951,2989.689941,2989.689941
3000.77002,3008.290039,2991.790039,2997.949951,2997.949951,3115960000,Sell,2996.840088,3000,2976.310059,2986.199951,2986.199951
2996.47998,3007.330078,2995.350098,3006.719971,3006.719971,3271620000,Buy,3010.72998,3014.570068,2995.040039,2995.98999,2995.98999
2994.01001,3004.780029,2991.209961,3004.52002,3004.52002,3392870000,Buy,3014.780029,3016.070068,3000.419922,3010.290039,3010.290039
3003.320068,3027.389893,3001.939941,3022.550049,3022.550049,3370370000,Buy,3032.120117,3044.080078,3032.120117,3039.419922,3039.419922
3035.389893,3047.870117,3034.810059,3036.889893,3036.889893,3589930000,Buy,3039.73999,3050.100098,3025.959961,3046.77002,3046.77002
3046.899902,3046.899902,3023.189941,3037.560059,3037.560059,4139280000,Sell,3050.719971,3066.949951,3050.719971,3066.909912,3066.909912
3078.959961,3085.199951,3074.870117,3078.27002,3078.27002,4146850000,Sell,3080.800049,3083.949951,3072.149902,3074.620117,3074.620117
3075.100098,3078.340088,3065.889893,3076.780029,3076.780029,4458190000,Buy,3087.02002,3097.77002,3080.22998,3085.179932,3085.179932
3081.25,3093.090088,3073.580078,3093.080078,3093.080078,3499150000,Buy,3080.330078,3088.330078,3075.820068,3087.01001,3087.01001
3089.280029,3102.610107,3084.72998,3091.840088,3091.840088,3466010000,Buy,3084.179932,3098.060059,3078.800049,3094.040039,3094.040039
3090.75,3098.199951,3083.26001,3096.629883,3096.629883,3276070000,Buy,3107.919922,3120.459961,3104.600098,3120.459961,3120.459961
3117.909912,3124.169922,3112.060059,3122.030029,3122.030029,3436690000,Buy,3127.449951,3127.639893,3113.469971,3120.179932,3120.179932
3114.659912,3118.969971,3091.409912,3108.459961,3108.459961,4034890000,Sell,3108.48999,3110.110107,3094.550049,3103.540039,3103.540039
3111.409912,3112.870117,3099.26001,3110.290039,3110.290039,3226780000,Sell,3117.439941,3133.830078,3117.439941,3133.639893,3133.639893
3134.850098,3142.689941,3131,3140.52002,3140.52002,4595590000,Buy,3145.48999,3154.26001,3143.409912,3153.629883,3153.629883
3147.179932,3150.300049,3139.340088,3140.97998,3140.97998,1743020000,Sell,3143.850098,3144.310059,3110.780029,3113.870117,3113.870117
3087.409912,3094.969971,3070.330078,3093.199951,3093.199951,3653390000,Buy,3103.5,3119.379883,3102.530029,3112.76001,3112.76001
3119.209961,3119.449951,3103.76001,3117.429932,3117.429932,3355750000,Sell,3134.620117,3150.600098,3134.620117,3145.909912,3145.909912
3141.860107,3148.870117,3135.459961,3135.959961,3135.959961,3345990000,Sell,3135.360107,3142.120117,3126.090088,3132.52002,3132.52002
3135.75,3143.97998,3133.209961,3141.629883,3141.629883,3252540000,Buy,3141.22998,3176.280029,3138.469971,3168.570068,3168.570068
3166.649902,3182.679932,3156.51001,3168.800049,3168.800049,3736870000,Buy,3183.629883,3197.709961,3183.629883,3191.449951,3191.449951
3195.399902,3198.219971,3191.030029,3192.52002,3192.52002,3837540000,Sell,3195.209961,3198.47998,3191.139893,3191.139893,3191.139893
3192.320068,3205.47998,3192.320068,3205.370117,3205.370117,3720450000,Buy,3223.330078,3225.649902,3216.030029,3221.219971,3221.219971
3226.050049,3227.780029,3222.300049,3224.01001,3224.01001,3060610000,Sell,3225.449951,3226.429932,3220.51001,3223.379883,3223.379883
3227.199951,3240.080078,3227.199951,3239.909912,3239.909912,2160680000,Buy,3247.22998,3247.929932,3234.370117,3240.02002,3240.02002
3240.090088,3240.919922,3216.570068,3221.290039,3221.290039,3013290000,Sell,3215.179932,3231.719971,3212.030029,3230.780029,3230.780029
3244.669922,3258.139893,3235.530029,3257.850098,3257.850098,3458250000,Buy,3226.360107,3246.149902,3222.340088,3234.850098,3234.850098
3217.550049,3246.840088,3214.639893,3246.280029,3246.280029,3674070000,Buy,3241.860107,3244.909912,3232.429932,3237.179932,3237.179932
3238.590088,3267.070068,3236.669922,3253.050049,3253.050049,3720890000,Buy,3266.030029,3275.580078,3263.669922,3274.699951,3274.699951
3281.810059,3282.98999,3260.860107,3265.350098,3265.350098,3212970000,Sell,3271.129883,3288.129883,3268.429932,3288.129883,3288.129883
3285.350098,3294.25,3277.189941,3283.149902,3283.149902,3665130000,Sell,3282.27002,3298.659912,3280.689941,3289.290039,3289.290039
3302.969971,3317.110107,3302.820068,3316.810059,3316.810059,3535080000,Buy,3323.659912,3329.879883,3318.860107,3329.620117,3329.620117
3321.030029,3329.790039,3316.610107,3320.790039,3320.790039,4105340000,Sell,3330.02002,3337.77002,3320.040039,3321.75,3321.75
3315.77002,3326.879883,3301.870117,3325.540039,3325.540039,3764860000,Buy,3333.100098,3333.179932,3281.530029,3295.469971,3295.469971
3247.159912,3258.850098,3234.5,3243.629883,3243.629883,3823100000,Sell,3255.350098,3285.780029,3253.219971,3276.23999,3276.23999
3289.459961,3293.469971,3271.889893,3273.399902,3273.399902,3584500000,Sell,3256.449951,3285.909912,3242.800049,3283.659912,3283.659912
